lemma,absolute_women,relative_women,absolute_men,relative_men,delta
BE,7.0,0.0004152823920265781,6.0,0.0006027122049221497,-0.00018742981289557163
BEAUTYFUL,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BEFREIEND,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BEFREIEND-,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
BITE,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BLACK,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
BLOOD,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BLOSSOM,3.0,0.0001779781680113906,0.0,0.0,0.0001779781680113906
BLOSSOM–,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BLUE,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
BODYSPRAYS,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BOSS,4.0,0.00023730422401518748,9.0,0.0009040683073832245,-0.000666764083368037
BOSS-Frau,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
BRIGHT,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Babe,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Bacio,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Bad,0.0,0.0,5.0,0.0005022601707684581,-0.0005022601707684581
Bain,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Balance,5.0,0.00029663028001898433,3.0,0.00030135610246107485,-4.725822442090525e-06
Baldessarini,0.0,0.0,4.0,0.00040180813661476645,-0.00040180813661476645
Ballons,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Balltag,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Balsaholz,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Balsam,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Bambus,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Banani,41.0,0.0024323682961556715,28.0,0.0028126569563033652,-0.0003802886601476938
Band,2.0,0.00011865211200759374,1.0,0.00010045203415369161,1.8200077853902126e-05
