lemma,absolute_women,relative_women,absolute_men,relative_men,delta
200ml,5.0,6.484411474814545e-05,2.0,6.80040802448147e-05,-3.159965496669242e-06
2013,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2019,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
2023,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20374,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2042048,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2042051,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
2042072,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2042172,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2042186,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
2042197,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
2042201,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2042210,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
2042277,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20694,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20699this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20748,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20953,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20ml,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
20th,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
21,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
212,0.0,0.0,3.0,0.00010200612036722203,-0.00010200612036722203
21267,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
22,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
24,0.0,0.0,5.0,0.00017001020061203673,-0.00017001020061203673
25,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
250ml,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
26,0.0,0.0,2.0,6.80040802448147e-05,-6.80040802448147e-05
264522,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
264531,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
